X,Y,Universe,Channel,Name
56,51,1,159,"RGB_light #0731"
57,51,1,162,"RGB_light #0732"
58,51,1,165,"RGB_light #0733"
59,51,1,168,"RGB_light #0734"
60,51,1,171,"RGB_light #0735"
61,51,1,174,"RGB_light #0736"
62,51,1,177,"RGB_light #0737"
63,51,1,180,"RGB_light #0738"
64,51,1,183,"RGB_light #0739"
65,51,1,186,"RGB_light #0740"
66,51,1,189,"RGB_light #0741"
67,51,1,192,"RGB_light #0742"
68,51,1,195,"RGB_light #0743"
69,51,1,198,"RGB_light #0744"
70,51,1,201,"RGB_light #0745"
71,51,1,204,"RGB_light #0746"
72,51,1,207,"RGB_light #0747"
73,51,1,210,"RGB_light #0748"
74,51,1,213,"RGB_light #0749"
75,51,1,216,"RGB_light #0750"
76,51,1,219,"RGB_light #0751"
77,51,1,222,"RGB_light #0752"
53,50,1,78,"RGB_light #0753"
54,50,1,81,"RGB_light #0754"
55,50,1,84,"RGB_light #0755"
56,50,1,87,"RGB_light #0756"
57,50,1,90,"RGB_light #0757"
58,50,1,93,"RGB_light #0758"
59,50,1,96,"RGB_light #0759"
60,50,1,99,"RGB_light #0760"
61,50,1,102,"RGB_light #0761"
62,50,1,105,"RGB_light #0762"
63,50,1,108,"RGB_light #0763"
64,50,1,111,"RGB_light #0764"
65,50,1,114,"RGB_light #0765"
66,50,1,117,"RGB_light #0766"
67,50,1,120,"RGB_light #0767"
68,50,1,123,"RGB_light #0768"
69,50,1,126,"RGB_light #0769"
70,50,1,129,"RGB_light #0770"
71,50,1,132,"RGB_light #0771"
72,50,1,135,"RGB_light #0772"
73,50,1,138,"RGB_light #0773"
74,50,1,141,"RGB_light #0774"
75,50,1,144,"RGB_light #0775"
76,50,1,147,"RGB_light #0776"
77,50,1,150,"RGB_light #0777"
52,49,1,0,"RGB_light #0778"
53,49,1,3,"RGB_light #0779"
54,49,1,6,"RGB_light #0780"
55,49,1,9,"RGB_light #0781"
56,49,1,12,"RGB_light #0782"
57,49,1,15,"RGB_light #0783"
58,49,1,18,"RGB_light #0784"
59,49,1,21,"RGB_light #0785"
60,49,1,24,"RGB_light #0786"
61,49,1,27,"RGB_light #0787"
62,49,1,30,"RGB_light #0788"
63,49,1,33,"RGB_light #0789"
64,49,1,36,"RGB_light #0790"
65,49,1,39,"RGB_light #0791"
66,49,1,42,"RGB_light #0792"
67,49,1,45,"RGB_light #0793"
